title,artist,needed_session,extra_session,url,author_note,sheet_sessions
Pour Some Sugar on Me,Def Leppard,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
More Than a Feeling,Boston,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",,,,
Born to Be Wild,Steppenwolf,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
Fortunate Son,CCR,"Vocal,Guitar1,Bass,Drum",,,,
Bad Moon Rising,CCR,"Vocal,Guitar1,Bass,Drum",,,,
Smells Like Teen Spirit,Nirvana,"Vocal,Guitar1,Bass,Drum",,,,
Come as You Are,Nirvana,"Vocal,Guitar1,Bass,Drum",,,,
Heart-Shaped Box,Nirvana,"Vocal,Guitar1,Bass,Drum",,,,
Black Hole Sun,Soundgarden,"Vocal,Guitar1,Bass,Drum",,,,
Jeremy,Pearl Jam,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
Even Flow,Pearl Jam,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
Man in the Box,Alice in Chains,"Vocal,Guitar1,Bass,Drum",,,,
Would?,Alice in Chains,"Vocal,Guitar1,Bass,Drum",,,,
Under the Bridge,Red Hot Chili Peppers,"Vocal,Guitar1,Bass,Drum",,,,
Californication,Red Hot Chili Peppers,"Vocal,Guitar1,Bass,Drum",,,,
Can't Stop,Red Hot Chili Peppers,"Vocal,Guitar1,Bass,Drum",,,,
Wonderwall,Oasis,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
Don't Look Back in Anger,Oasis,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",,,,
Champagne Supernova,Oasis,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
Creep,Radiohead,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
With or Without You,U2,"Vocal,Guitar1,Bass,Drum",,,,
Sunday Bloody Sunday,U2,"Vocal,Guitar1,Bass,Drum",,,,
Where the Streets Have No Name,U2,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
Seven Nation Army,The White Stripes,"Vocal,Guitar1,Drum",,,,
Mr. Brightside,The Killers,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
Somebody Told Me,The Killers,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
Are You Gonna Be My Girl,Jet,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
Last Nite,The Strokes,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
Take Me Out,Franz Ferdinand,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
Knights of Cydonia,Muse,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
Uprising,Muse,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
